# Converted from eigencrow/IBMTTSDictionaries US-English files.
# Source data is CC0-1.0. Columns: spelling, kind, priority:value.
achaea	phonetic	fallback:AXk'EYAX
achaean	phonetic	fallback:AXk'IYIXn
achaemenes	phonetic	fallback:AXk'IYmIXn"IYz
achaemenian	phonetic	fallback:"AEkIXm'IYnIYIXn
achaemenid	phonetic	fallback:AXk'IYmIXnIXd
achaemenidae	phonetic	fallback:"AEkIXm'EHnIXDXIY
achaia	phonetic	fallback:AXk'EYAX
achaian	phonetic	fallback:AXk'IYIXn
achalasia	phonetic	fallback:"EYkAXl'EYZHAX
achates	phonetic	fallback:AXk'EYDXIYz
achatour	phonetic	fallback:AXtSH'EYDXER
achbor	phonetic	fallback:'AAkb"AAr
achene	phonetic	fallback:AXk'IYn
achenial	phonetic	fallback:"EYk'IYnIYAXl
achenium	phonetic	fallback:AXk'IYnIYAXm
